text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"'#China has always been a reliable and credible friend to Pakistan'- Professor Lin Minwang, Assistant Dean Fudan Un… https://t.co/KJgQPfsyJR",FALSE,1,NA,2022-12-08T06:07:25Z,TRUE,NA,1600733769690152961,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",CPSC_ISSI,0,FALSE,FALSE,NA,NA
"RT @CPSC_ISSI: 'Shift towards #geoeconomics shows that concept of National Security has expanded'-Dr. Talat Shabbir, Dir. CPSC. 
#Isbconcla…",FALSE,0,NA,2022-12-08T06:03:19Z,FALSE,NA,1600732739283869696,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ISSIslamabad,1,TRUE,FALSE,NA,NA
"RT @CPSC_ISSI: 'In recent years Pakistan leadership has started to focus on #Geoeconomics with geo-politics' Dr.Talat Shabbir, Dir.CPSC 
#I…",FALSE,0,NA,2022-12-08T06:03:17Z,FALSE,NA,1600732727711395841,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ISSIslamabad,2,TRUE,FALSE,NA,NA
"RT @CPSC_ISSI: December 8, 2022: 4th Session of Islamabad Conclave 2022 titled""75 Years of Independence -Pursuit of #geoeconomics' has star…",FALSE,0,NA,2022-12-08T06:03:15Z,FALSE,NA,1600732720014843904,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ISSIslamabad,1,TRUE,FALSE,NA,NA
RT @HassanDaudButt: I believe visit of President Xi to #SaudiArabia will usher a new era of cooperation and can also benefit #Pakistan thro…,FALSE,0,NA,2022-12-08T05:48:03Z,FALSE,NA,1600728897242685441,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",zhongjieHuang2,5,TRUE,FALSE,NA,NA
RT @HassanDaudButt: I believe visit of President Xi to #SaudiArabia will usher a new era of cooperation and can also benefit #Pakistan thro…,FALSE,0,NA,2022-12-08T05:39:38Z,FALSE,NA,1600726775625297922,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Humaira3J,5,TRUE,FALSE,NA,NA
"'Shift towards #geoeconomics shows that concept of National Security has expanded'-Dr. Talat Shabbir, Dir. CPSC.… https://t.co/fZn76ebVmH",FALSE,1,NA,2022-12-08T05:35:39Z,TRUE,NA,1600725777028612096,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",CPSC_ISSI,1,FALSE,FALSE,NA,NA
"RT @CPSC_ISSI: 'In recent years Pakistan leadership has started to focus on #Geoeconomics with geo-politics' Dr.Talat Shabbir, Dir.CPSC 
#I…",FALSE,0,NA,2022-12-08T05:31:59Z,FALSE,NA,1600724854428565505,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Moinzakir111,2,TRUE,FALSE,NA,NA
"'In recent years Pakistan leadership has started to focus on #Geoeconomics with geo-politics' Dr.Talat Shabbir, Dir… https://t.co/wMZlMV5ODq",FALSE,1,NA,2022-12-08T05:30:32Z,TRUE,NA,1600724485933387776,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",CPSC_ISSI,2,FALSE,FALSE,NA,NA
"December 8, 2022: 4th Session of Islamabad Conclave 2022 titled""75 Years of Independence -Pursuit of #geoeconomics'… https://t.co/yufxZUNcFD",FALSE,2,NA,2022-12-08T05:23:45Z,TRUE,NA,1600722779937992705,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",CPSC_ISSI,1,FALSE,FALSE,NA,NA
RT @HassanDaudButt: I believe visit of President Xi to #SaudiArabia will usher a new era of cooperation and can also benefit #Pakistan thro…,FALSE,0,NA,2022-12-08T05:16:04Z,FALSE,NA,1600720848419454976,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",mancunian604,5,TRUE,FALSE,NA,NA
